Id,Name,Occurrences,Interests
sCMokQIAAAAJ,David Clutterbuck,2,"['Mentoring', 'coaching', 'systemic talent management', 'team coaching', 'coaching supervision']"
zU5xiRcAAAAJ,Heejung Ro,1,"['service encounter', 'consumer behavior', 'LGBT consumer behavior', 'service management']"
5krOwBUAAAAJ,Rilla Hynes,1,['leadership management']
H7Yvp_kAAAAJ,Joel Bennett,1,"['Resilience', 'Health', 'Leadership', 'Prevention', 'Organizational Behavior']"
U-havMUAAAAJ,Colin Neill,1,"['software engineering', 'systems engineering', 'engineering education']"
qY9wi0cAAAAJ,Phillip Laplante,1,[]
WSx8wPAAAAAJ,Joanna F. DeFranco,1,"['Computer Security', 'distributed ledgers', 'blockchain', 'Internet of Things', 'IoT']"
lPH0Vi8AAAAJ,Erich Bergiel,1,"['Teams', 'Shared Mental Models', 'Conflict']"
0Iy-uBIAAAAJ,Charles A. Nelson,1,"['face processing', 'autism', 'adversity', 'brain development']"
1zDVlncAAAAJ,Mark Widmer,1,"['adventure therapy', 'wilderness therapy', 'positive psychology', 'positive organizational scholarship']"
Zv06i9gAAAAJ,Mat D Duerden,1,['experience design']
NzWIEV0AAAAJ,Jeffrey Moore,1,"['Moral Development', 'Organizational Development', 'Consulting', 'Inclusive teams']"
7nys-0EAAAAJ,Марина Макарченко,1,"['теория организации', 'организационная культура', 'управление']"
CERn0MkAAAAJ,"Adrian Pyszka, Ph.D.",1,"['Corporate Social Responsibility (CSR)', 'Social Innovations', 'Startups', 'Human Resource Management (HRM)', 'AI and work automation']"
w7mFQhAAAAAJ,Christian Siregar,1,"['Religion', 'Character Education', 'Communication']"
3JBZ_dcAAAAJ,Murty Magda Pane,1,"['Psikologi', 'Lingkungan Hidup', 'Pendidikan Karakter', 'Bisnis']"
uDBQEeYAAAAJ,Yustinus suhardi Ruman,1,"['Sociology', 'Philosophy']"
qf1zoiwAAAAJ,Christian Ketel,1,"['Health Disparities', 'Community-Based Care']"
bx_yHWUAAAAJ,samuel bassetto,1,"['quality', 'process']"
ZLYuDjkAAAAJ,Brian Engelland,1,"['marketing', 'marketing education', 'marketing measurement']"
wYVsVfcAAAAJ,Antoni Lluís Mesquida Calafat,1,"['Project Management', 'Software Process Improvement', 'Lean & Agile Project Management']"
-BvbLQYAAAAJ,Antònia Mas Pichaco,1,"['Project management', 'Software Process Improvement', 'Lean&Agile Project management']"
zdpJKLEAAAAJ,Tony Smith,2,"['Leadership and Organisation Development in Health Services', 'Public Health', 'Health Policy']"
FZWMvQEAAAAJ,Prof Andrew Booth,1,"['Qualitative evidence synthesis', 'Realist Synthesis', 'Evidence based library and infornation practice', 'Evidence based healthcare']"
Tl0kZYkAAAAJ,Steven M Ariss,1,"['Complex Evaluation', 'Health Service Design', 'Interdisciplinary Teamworking', 'Mixed Methods', 'Realist Evaluation & Synthesis']"
DwoBZ74AAAAJ,Jozef Hvorecký,1,"['Computer Education', 'Knowledge Management']"
Gr-RyWUAAAAJ,Anette Søgaard Nielsen,1,[]
r0QaVw8AAAAJ,Erin S. Barry,1,"['Leadership', 'Followership', 'Healthcare teams']"
xGbN2HMAAAAJ,Holly Meyer,1,['medical education']
Dkcv5eIAAAAJ,Dr. Taimur Sharif,1,"['International Business', 'Finance', 'Economics']"
A9PaA1AAAAAJ,Bryan Schaffer,1,"['Teams', 'Diversity', 'Organizational Behavior']"
frdq-aAAAAAJ,Jennifer Manegold,1,"['organizational justice / fairness', 'ethics', 'work/family', 'teams']"
4yYDfDgAAAAJ,Kate Thompson,1,"['learning sciences', 'educational technology', 'CSCL', 'design for learning']"
PFifM5MAAAAJ,Deana Pennington,1,"['Human/Environmental Systems', 'Interdisciplinary Science', 'Knowledge Synthesis', 'Scientific Scenarios']"
LPnPdOcAAAAJ,Rebecca M. Reck,2,"['Engineering Education', 'Instructional Laboratories', 'Experiential Learning', 'Systems Engineering', 'Electrical Engineering']"
DKI15QIAAAAJ,Asier Aranzabal,1,['Catalyzed reaction engineering']
GSz-0cgAAAAJ,Eva Epelde,1,['Ingeniería química']
UGA7HZ8AAAAJ,Katja Einola,1,"['leadership', 'HRM', 'teams', 'higher education', 'research methods']"
